2.5n 0.6272m
1.8498e+06n 7.13403m
1.8498e+06n 0.438837m
1.84981e+06n 0.00585116m
1.84986e+06n 0m
1.85108e+06n 0m
1.85443e+06n 0.059958m
1.85444e+06n 0.830638m
1.85444e+06n 3.45124m
1.85445e+06n 3.49804m
1.85445e+06n 0.861348m
1.85446e+06n 0.0716571m
1.85446e+06n 0.00146239m
1.85452e+06n 0m
1.85778e+06n 0.0614036m
1.85779e+06n 0.921053m
1.85779e+06n 3.32018m
1.8578e+06n 3.45468m
1.8578e+06n 0.959065m
1.85781e+06n 0.0526316m
1.85786e+06n 0m
1.86105e+06n 0m
1.86277e+06n 0.0306962m
1.86278e+06n 0.572995m
1.86278e+06n 2.3563m
1.86279e+06n 2.26128m
1.86279e+06n 0.597844m
1.8628e+06n 0.0248493m
1.8628e+06n 0.00146172m
1.86285e+06n 0m
1.86329e+06n 0.0116932m
1.8633e+06n 0.135934m
1.8633e+06n 0.583201m
1.86331e+06n 0.556891m
1.86331e+06n 0.166629m
1.86332e+06n 0.00730828m
1.86337e+06n 0m
1.86659e+06n 0.0730494m
1.8666e+06n 1.43907m
1.8666e+06n 5.8162m
1.86661e+06n 5.78844m
1.86661e+06n 1.39671m
1.86662e+06n 0.0949643m
1.86662e+06n 0.00146099m
1.86668e+06n 0m
1.86978e+06n 0.0102265m
1.86978e+06n 0.14317m
1.86979e+06n 0.549307m
1.86979e+06n 0.593134m
1.8698e+06n 0.154858m
1.8698e+06n 0.0102265m
1.86986e+06n 0m
1.87052e+06n 0.125553m
1.87052e+06n 2.19134m
1.87053e+06n 8.71282m
1.87053e+06n 8.53908m
1.87054e+06n 2.18696m
1.87054e+06n 0.140153m
1.8706e+06n 0m
1.87208e+06n 0.294515m
1.87209e+06n 4.26172m
1.87209e+06n 16.5614m
1.8721e+06n 16.7378m
1.8721e+06n 4.16695m
1.87211e+06n 0.246401m
1.87211e+06n 0.00437398m
1.87217e+06n 0m
1.87501e+06n 0.16183m
1.87501e+06n 0.583171m
1.87502e+06n 0.549639m
1.87502e+06n 0.155998m
1.87503e+06n 0.00728964m
1.87508e+06n 0m
1.87763e+06n 0.0335278m
1.87764e+06n 0.451896m
1.87764e+06n 1.74927m
1.87765e+06n 1.70992m
1.87765e+06n 0.405248m
1.87766e+06n 0.0233237m
1.87771e+06n 0m
1.88006e+06n 0.0816068m
1.88006e+06n 0.971995m
1.88007e+06n 4.10074m
1.88008e+06n 3.91712m
1.88008e+06n 1.06526m
1.88008e+06n 0.0626623m
1.88009e+06n 0.00145726m
1.88014e+06n 0m
1.88187e+06n 0.0975834m
1.88187e+06n 1.69824m
1.88188e+06n 6.90657m
1.88188e+06n 6.88036m
1.88189e+06n 1.7667m
1.88189e+06n 0.1238m
1.8819e+06n 0.00145647m
1.88195e+06n 0m
1.88419e+06n 0.0989903m
1.88419e+06n 1.68138m
1.8842e+06n 6.26405m
1.8842e+06n 6.29607m
1.88421e+06n 1.57074m
1.88421e+06n 0.100446m
1.88422e+06n 0.00145574m
1.88427e+06n 0m
1.88647e+06n 0.101851m
1.88648e+06n 1.5525m
1.88648e+06n 6.3744m
1.88649e+06n 6.31911m
1.88649e+06n 1.57432m
1.8865e+06n 0.0814806m
1.8865e+06n 0.00145501m
1.88656e+06n 0m
1.88813e+06n 0.0480045m
1.88814e+06n 0.722976m
1.88814e+06n 2.905m
1.88815e+06n 2.84826m
1.88815e+06n 0.709884m
1.88816e+06n 0.0392764m
1.88822e+06n 0m
1.89154e+06n 0.100318m
1.89155e+06n 1.68069m
1.89155e+06n 6.91615m
1.89156e+06n 6.95395m
1.89156e+06n 1.69233m
1.89157e+06n 0.0988644m
1.89157e+06n 0.00145389m
1.89163e+06n 0m
1.89404e+06n 0.0494142m
1.89404e+06n 1.17722m
1.89405e+06n 4.5839m
1.89405e+06n 4.6493m
1.89406e+06n 1.09293m
1.89406e+06n 0.0741213m
1.89412e+06n 0m
1.89456e+06n 0.114758m
1.89456e+06n 1.58773m
1.89457e+06n 6.2594m
1.89457e+06n 6.26957m
1.89458e+06n 1.63857m
1.89458e+06n 0.10459m
1.89459e+06n 0.00145263m
1.89464e+06n 0m
1.89772e+06n 0.107432m
1.89772e+06n 1.87715m
1.89773e+06n 7.40697m
1.89773e+06n 7.39536m
1.89774e+06n 1.94538m
1.89774e+06n 0.136467m
1.89775e+06n 0.00290356m
1.8978e+06n 0m
1.9006e+06n 0.0696632m
1.9006e+06n 1.05511m
1.90061e+06n 3.94323m
1.90061e+06n 4.00128m
1.90062e+06n 1.01592m
1.90062e+06n 0.0740172m
1.90068e+06n 0m
1.90352e+06n 0.0522332m
1.90353e+06n 0.867652m
1.90353e+06n 3.47496m
1.90354e+06n 3.41112m
1.90354e+06n 0.838633m
1.90355e+06n 0.0594878m
1.9036e+06n 0m
1.90562e+06n 0.121795m
1.90562e+06n 2.20825m
1.90563e+06n 8.51838m
1.90563e+06n 8.65612m
1.90564e+06n 2.11256m
1.90564e+06n 0.131944m
1.9057e+06n 0m
1.90854e+06n 0.254889m
1.90854e+06n 3.77264m
1.90855e+06n 14.8371m
1.90855e+06n 14.6662m
1.90856e+06n 3.8856m
1.90856e+06n 0.233165m
1.90857e+06n 0.00434469m
1.90862e+06n 0m
1.91124e+06n 0.105649m
1.91124e+06n 2.1839m
1.91125e+06n 8.50259m
1.91125e+06n 8.5981m
1.91126e+06n 2.18969m
1.91126e+06n 0.124463m
1.91127e+06n 0.00144725m
1.91132e+06n 0m
1.91234e+06n 0.00578847m
1.91234e+06n 0.314025m
1.91235e+06n 1.08534m
1.91235e+06n 1.18664m
1.91236e+06n 0.286529m
1.91236e+06n 0.0159183m
1.91242e+06n 0m
1.91401e+06n 1.71448m
1.91402e+06n 29.8456m
1.91402e+06n 119.212m
1.91403e+06n 118.54m
1.91403e+06n 29.8084m
1.91404e+06n 1.86356m
1.91404e+06n 0.0229361m
1.9141e+06n 0m
1.91491e+06n 0.126064m
1.91491e+06n 2.18606m
1.91492e+06n 8.45202m
1.91492e+06n 8.53081m
1.91493e+06n 2.05284m
1.91493e+06n 0.134659m
1.91494e+06n 0.00143255m
1.91499e+06n 0m
1.91624e+06n 0.0816186m
1.91624e+06n 1.48489m
1.91624e+06n 5.63025m
1.91625e+06n 5.57441m
1.91626e+06n 1.47057m
1.91626e+06n 0.0773229m
1.91632e+06n 0m
1.91611e+06n 0m
1.91857e+06n 0.0515347m
1.91858e+06n 0.896132m
1.91858e+06n 3.27532m
1.91859e+06n 3.39127m
1.91859e+06n 0.907584m
1.9186e+06n 0.0644184m
1.91866e+06n 0m
1.92106e+06n 0.0658293m
1.92107e+06n 1.01892m
1.92107e+06n 3.98124m
1.92108e+06n 3.92114m
1.92108e+06n 0.937353m
1.92109e+06n 0.0915886m
1.92115e+06n 0m
1.92177e+06n 0.104412m
1.92177e+06n 1.74211m
1.92178e+06n 6.63089m
1.92178e+06n 6.82542m
1.92179e+06n 1.74783m
1.92179e+06n 0.112994m
1.92185e+06n 0m
1.92417e+06n 0.0171621m
1.92418e+06n 0.260292m
1.92418e+06n 1.147m
1.92419e+06n 1.12269m
1.92419e+06n 0.286036m
1.9242e+06n 0.0271734m
1.92426e+06n 0m
1.92517e+06n 0.410991m
1.92517e+06n 7.12242m
1.92518e+06n 27.6178m
1.92518e+06n 27.4322m
1.92519e+06n 6.93405m
1.92519e+06n 0.398148m
1.9252e+06n 0.00428116m
1.92525e+06n 0m
1.92719e+06n 0.0870114m
1.92719e+06n 1.36793m
1.9272e+06n 5.68713m
1.9272e+06n 5.63577m
1.92721e+06n 1.39218m
1.92721e+06n 0.0941435m
1.92727e+06n 0m
1.92952e+06n 0.12828m
1.92952e+06n 2.47724m
1.92953e+06n 9.55831m
1.92953e+06n 9.39297m
1.92954e+06n 2.49719m
1.92954e+06n 0.173891m
1.92955e+06n 0.00285068m
1.9296e+06n 0m
1.93179e+06n 0m
1.93141e+06n 0.0826438m
1.93142e+06n 0.967503m
1.93142e+06n 3.88996m
1.93143e+06n 3.93698m
1.93143e+06n 1.0188m
1.93144e+06n 0.0726696m
1.93144e+06n 0.00284979m
1.93149e+06n 0m
1.9349e+06n 0.295943m
1.93491e+06n 4.71802m
1.93491e+06n 18.4139m
1.93492e+06n 18.5775m
1.93492e+06n 4.63976m
1.93493e+06n 0.303057m
1.93493e+06n 0.00284561m
1.93498e+06n 0m
1.93894e+06n 0.372063m
1.93895e+06n 6.00272m
1.93895e+06n 24.1444m
1.93896e+06n 24.3361m
1.93896e+06n 5.85077m
1.93897e+06n 0.346502m
1.93897e+06n 0.00284018m
1.93902e+06n 0m
1.94054e+06n 0.0397554m
1.94055e+06n 0.512561m
1.94055e+06n 2.31149m
1.94056e+06n 2.20359m
1.94056e+06n 0.575034m
1.94057e+06n 0.0369158m
1.94062e+06n 0m
1.94219e+06n 0.0936594m
1.9422e+06n 1.72135m
1.9422e+06n 6.75625m
1.94221e+06n 6.75199m
1.94221e+06n 1.60498m
1.94222e+06n 0.0936594m
1.94222e+06n 0.00141908m
1.94227e+06n 0m
1.9432e+06n 1.47978m
1.94321e+06n 24.8887m
1.94321e+06n 99.5562m
1.94322e+06n 98.3833m
1.94322e+06n 24.6761m
1.94323e+06n 1.59523m
1.94323e+06n 0.0183036m
1.94328e+06n 0m
1.94573e+06n 0.0703738m
1.94574e+06n 1.09642m
1.94574e+06n 4.4631m
1.94575e+06n 4.518m
1.94575e+06n 1.02605m
1.94576e+06n 0.0844485m
1.94576e+06n 0.00140748m
1.94582e+06n 0m
1.94823e+06n 0.0633197m
1.94823e+06n 0.88929m
1.94824e+06n 3.32921m
1.94824e+06n 3.26589m
1.94825e+06n 0.854112m
1.94825e+06n 0.040806m
1.94831e+06n 0m
1.95098e+06n 0.0492357m
1.95098e+06n 0.837006m
1.95099e+06n 3.27065m
1.95099e+06n 3.37194m
1.951e+06n 0.867954m
1.951e+06n 0.042202m
1.95101e+06n 0.00140673m
1.95106e+06n 0m
1.95338e+06n 0.00422001m
1.95339e+06n 0.171614m
1.95339e+06n 0.554228m
1.9534e+06n 0.519062m
1.9534e+06n 0.14348m
1.95341e+06n 0.01266m
1.95347e+06n 0m
1.95543e+06n 0.140574m
1.95544e+06n 2.13814m
1.95544e+06n 8.516m
1.95545e+06n 8.12239m
1.95545e+06n 2.04817m
1.95546e+06n 0.113865m
1.95546e+06n 0.00421723m
1.95551e+06n 0m
1.95698e+06n 0.0421631m
1.95698e+06n 0.756124m
1.95699e+06n 2.71811m
1.95699e+06n 2.81368m
1.957e+06n 0.640879m
1.957e+06n 0.054812m
1.95701e+06n 0.00140544m
1.95706e+06n 0m
1.96012e+06n 0.0056215m
1.96013e+06n 0.136321m
1.96013e+06n 0.549501m
1.96014e+06n 0.574798m
1.96014e+06n 0.132105m
1.96015e+06n 0.0056215m
1.9602e+06n 0m
1.96003e+06n 0.0196735m
1.96003e+06n 0.299318m
1.96004e+06n 1.0441m
1.96004e+06n 1.10031m
1.96005e+06n 0.328829m
1.96005e+06n 0.0154578m
1.96011e+06n 0m
1.96147e+06n 0.112361m
1.96148e+06n 1.7121m
1.96148e+06n 6.63912m
1.96149e+06n 6.61665m
1.96149e+06n 1.6503m
1.9615e+06n 0.119383m
1.9615e+06n 0.00140451m
1.96155e+06n 0m
1.96335e+06n 0.0645905m
1.96336e+06n 0.787723m
1.96336e+06n 3.33764m
1.96337e+06n 3.31237m
1.96337e+06n 0.864951m
1.96338e+06n 0.0533574m
1.96338e+06n 0.00280828m
1.96344e+06n 0m
1.96604e+06n 0.0603622m
1.96604e+06n 0.767863m
1.96605e+06n 3.33957m
1.96605e+06n 3.32273m
1.96606e+06n 0.873146m
1.96606e+06n 0.0575547m
1.96607e+06n 0.00140377m
1.96612e+06n 0m
1.96684e+06n 0.00982597m
1.96684e+06n 0.150197m
1.96685e+06n 0.526392m
1.96685e+06n 0.572714m
1.96686e+06n 0.134756m
1.96686e+06n 0.00982597m
1.96692e+06n 0m
1.96788e+06n 5.39441m
1.96789e+06n 87.8297m
1.96789e+06n 347.926m
1.9679e+06n 348.092m
1.9679e+06n 88.3566m
1.96791e+06n 5.38076m
1.96791e+06n 0.0846288m
1.96796e+06n 0m
1.97035e+06n 0.0900465m
1.97035e+06n 1.49941m
1.97036e+06n 5.92261m
1.97036e+06n 5.98127m
1.97037e+06n 1.45439m
1.97037e+06n 0.060031m
1.97043e+06n 0m
1.97241e+06n 0.024555m
1.97242e+06n 0.394244m
1.97242e+06n 1.62199m
1.97243e+06n 1.60835m
1.97243e+06n 0.421528m
1.97244e+06n 0.0218267m
1.9725e+06n 0m
1.97584e+06n 0.121323m
1.97585e+06n 2.31195m
1.97585e+06n 9.15238m
1.97586e+06n 9.17283m
1.97586e+06n 2.29968m
1.97587e+06n 0.11587m
1.97593e+06n 0m
1.97961e+06n 0.0463343m
1.97961e+06n 0.917146m
1.97962e+06n 3.77079m
1.97962e+06n 3.84029m
1.97963e+06n 0.913058m
1.97963e+06n 0.0504226m
1.97964e+06n 0.00136277m
1.97969e+06n 0m
1.98167e+06n 0.0490494m
1.98167e+06n 0.709854m
1.98168e+06n 2.67319m
1.98168e+06n 2.67455m
1.98169e+06n 0.667617m
1.98169e+06n 0.0340621m
1.98175e+06n 0m
1.98389e+06n 0.0980529m
1.9839e+06n 1.50892m
1.9839e+06n 5.70069m
1.98391e+06n 6.018m
1.98391e+06n 1.58246m
1.98392e+06n 0.0667304m
1.98392e+06n 0.00408554m
1.98397e+06n 0m
