time	V(-1)
3.714673123899759e-008	1.714462e-004
3.717408926783435e-008	1.631224e-004
3.720058017185818e-008	1.497617e-004
3.723182832594784e-008	1.282799e-004
3.726397023176680e-008	1.013538e-004
3.728975424620159e-008	7.672569e-005
3.732155051282520e-008	4.398172e-005
3.735396162481287e-008	9.781032e-006
3.738873886239389e-008	-2.594965e-005
3.743016834091160e-008	-6.525291e-005
3.746134781526015e-008	-9.098398e-005
3.749130893713107e-008	-1.109324e-004
3.752497154157943e-008	-1.274739e-004
3.755629363809743e-008	-1.367627e-004
3.759148036892749e-008	-1.399838e-004
3.762522174527891e-008	-1.363947e-004
3.765760055100257e-008	-1.270916e-004
3.768633097584074e-008	-1.144721e-004
3.771479557083607e-008	-9.850276e-005
3.774289973128281e-008	-8.010934e-005
3.777480657906589e-008	-5.711018e-005
3.780677271440337e-008	-3.291263e-005
3.783638490076350e-008	-1.037003e-005
3.787082542064609e-008	1.495615e-005
3.789991072944209e-008	3.476312e-005
3.793101305428797e-008	5.361318e-005
3.795838940979603e-008	6.776936e-005
3.798620742497892e-008	7.927101e-005
3.801782459210789e-008	8.865492e-005
3.805371314421722e-008	9.489205e-005
